Date (CST),Hubei,Guangdong,Beijing,Shanghai,Zhejiang,Tianjin,Chongqing,Jiangxi,Shandong,Henan,Hunan,Sichuan,Yunnan,Shanxi,Fujian,Liaoning,Hainan,Anhui,Guizhou,Guangxi,Ningxia,Hebei,Jiangsu,Jilin,Heilongjiang,Shaanxi,Xinjiang,Gansu,InnerMongolia,Qinghai,Tibet,National,ExcludingHubei[34]
2020-01-11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-01-17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2020-01-18,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
2020-01-19,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1
2020-01-20,72,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92[35],20
2020-01-21,105,12,5,7,5,2,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149[36],44
2020-01-22,69,6,4,7,5,2,4,1,5,4,8,3,0,1,1,2,4,1,3,2,1,1,1,1,0,3,0,0,0,0,0,139[37],70
2020-01-23,105,21,12,4,33,1,18,4,3,4,15,10,1,0,4,2,4,14,0,11,1,1,8,2,4,2,2,2,1,0,0,289[38],184
2020-01-24,180,25,10,13,19,3,30,11,12,23,19,13,3,5,5,8,2,24,1,10,1,6,9,1,5,10,1,2,1,0,0,452[39],272
2020-01-25,323,20,15,7,42,2,18,18,18,51,26,16,6,3,19,5,12,21,1,10,1,5,13,0,6,7,1,3,5,1,0,675[40],352
2020-01-26,371,48,17,13,24,4,35,12,24,45,31,25,8,4,27,5,9,10,2,13,3,5,16,2,6,13,1,7,4,3,0,787[41],416
2020-01-27,1291,42,12,13,45,9,22,24,24,40,43,21,7,7,17,5,7,36,2,5,4,15,23,2,9,11,5,5,2,2,0,1750[42],459
2020-01-28,840,53,11,14,123,1,15,37,34,38,78,18,25,7,9,9,5,46,0,7,1,15,29,1,7,10,3,5,2,0,0,1443[43],603
2020-01-29,1032,70,20,21,132,3,18,53,24,72,56,34,19,8,19,3,3,48,3,20,5,17,30,5,6,7,1,2,3,0,1,1735[44],703
2020-01-30,1220,82,21,27,109,5,41,78,33,74,55,36,10,4,19,4,3,37,3,9,4,17,39,0,16,24,3,3,2,2,0,1980[45],760
2020-01-31,1347,142,24,41,62,5,41,46,28,70,67,30,11,8,24,20,8,60,14,13,5,14,34,3,21,14,1,6,3,1,0,2163[46],816
2020-02-01,1921,69,27,8,62,8,15,47,19,71,64,23,8,9,15,1,6,43,9,11,2,8,34,6,15,15,2,5,4,2,0,2529[46],608
2020-02-02,2103,121,29,26,63,11,50,58,34,73,58,23,15,10,20,9,8,68,8,16,3,9,35,8,26,8,4,11,7,2,0,2916[47],813
2020-02-03,2345,114,16,5,105,4,25,85,11,109,72,28,3,8,15,1,7,72,10,12,3,13,37,11,34,14,5,4,1,2,0,3180[48],835
2020-02-04,3156,73,25,25,66,9,29,72,28,89,68,19,5,7,11,7,11,50,8,11,0,9,33,13,35,23,3,2,7,2,0,3887[49],731
