Date(CST),Cases,Cases,Cases,Cases,Deaths(cumulative),Recovered(cumulative),Deaths + Recovered (cumulative),D/(D+R) [note 1],Quarantine,Quarantine,Quarantine,Quarantine,Source
Date(CST),Suspected(current),Confirmed(cumulative),Daily Increase in Confirmed,Serious(current),Deaths(cumulative),Recovered(cumulative),Deaths + Recovered (cumulative),D/(D+R) [note 1],Quarantined(current),Released(on the day),Released(cumulative),Total(cumulative),Source
2019-12-31,27,0,0,0,0,0,0,0,0,0,0,0,[5]
2020-01-03,44,0,0,0,0,0,0,0,121,0,0,0,[6]
2020-01-05,59,0,0,0,0,0,0,0,163,0,0,0,[7]
2020-01-10,0,41,0,0,1,0,1,0,739,0,0,739,[8]
2020-01-11,0,41,0,0,1,0,1,0,717,0,46,763,[9]
2020-01-12,0,41,0,0,1,0,1,0,687,0,76,763,[10]
2020-01-13,0,41,0,0,1,0,1,0,576,0,187,763,[11]
2020-01-15,0,0,0,0,2,7,9,22.2%,119,0,644,763,[12]
2020-01-16,0,45,0,5,0,12,14,0,98,0,665,763,[13]
2020-01-17,0,62,37.8%,8,2,15,17,11.8%,82,0,681,763,[14]
2020-01-18,0,121,95.2%,0,0,19,0,0,0,0,0,0,[15]
2020-01-19,0,198,63.6%,44,3,25,28,10.7%,90,0,727,817,[15]
2020-01-20,54,291,47.0%,0,6,25,31,19.4%,249,0,739,988,[16][17]
2020-01-21,37,440,51.2%,102,9,0,0,0,1394,0,765,"[note 2] 2,197",[18]
2020-01-22,257,571,29.8%,95,17,0,0,0,4928,0,969,5897,[19]
2020-01-23,1072,830,45.4%,177,25,34,59,42.4%,8420,0,1087,9507,[20]
2020-01-24,1965,1287,55.1%,237,41,38,79,51.9%,13967,0,1230,15197,[21]
2020-01-25,2684,1975,53.5%,324,56,49,105,53.3%,21556,325,[note 3],23431,[22]
2020-01-26,5794,2744,38.9%,461,80,51,131,61.1%,30453,583,0,32799,[23]
2020-01-27,6973,4515,64.5%,976,106,60,166,63.9%,44132,914,0,47833,[24]
2020-01-28,9239,5974,32.3%,1239,132,103,235,56.2%,59990,1604,0,65537,[25]
2020-01-29,12167,7711,29.1%,1370,170,124,294,57.8%,81947,2364,0,88693,[26]
2020-01-30,15238,9692,25.7%,1527,213,171,384,55.5%,102427,4201,0,113579,[27]
2020-01-31,17988,11791,21.7%,1795,259,243,502,51.6%,118478,6509,0,136987,[28]
2020-02-01,19544,14380,22.0%,2110,304,328,632,48.1%,137594,8044,0,163844,[29]
2020-02-02,21558,17205,19.6%,2296,361,475,836,43.2%,152700,10055,0,189583,[30]
2020-02-03,23214,20440,18.8%,2788,425,632,1057,40.2%,171329,12755,0,221015,[31]
2020-02-04,23260,24324,19.0%,3219,490,892,1382,35.5%,185555,18457,0,252154,[32]
